patch_number,MAE Loss PSNR,MAE Loss SSIM,MSE Loss PSNR,MSE Loss SSIM,Tukey Loss PSNR,Tukey Loss SSIM,Charbonnier Loss PSNR,Charbonnier Loss SSIM,TV+MAE Loss PSNR,TV+MAE Loss SSIM,SSIM+MAE Loss PSNR,SSIM+MAE Loss SSIM
1,28.447885513305664,0.7994707226753235,28.51017951965332,0.8014307022094727,28.547842025756836,0.8030633330345154,28.529375076293945,0.8014224767684937,28.328264236450195,0.7981301546096802,28.13178062438965,0.8051666021347046
2,22.15862274169922,0.6530065536499023,22.15130615234375,0.6572622060775757,22.209877014160156,0.6586992144584656,22.270774841308594,0.6600375771522522,22.074907302856445,0.6502569317817688,21.984359741210938,0.657846987247467
3,21.270061492919922,0.6715062260627747,21.07418441772461,0.6683743000030518,21.12901496887207,0.66960209608078,21.001577377319336,0.6688332557678223,21.127002716064453,0.6679067015647888,20.664262771606445,0.6601138710975647
4,18.91478729248047,0.5913562774658203,18.7534236907959,0.5894435048103333,18.776695251464844,0.5917444825172424,18.674118041992188,0.590101957321167,18.803142547607422,0.5880666375160217,18.4713134765625,0.5817596912384033
5,23.56182861328125,0.6318183541297913,23.578426361083984,0.6310434341430664,23.44783592224121,0.6320288777351379,23.533296585083008,0.6341584920883179,23.440017700195312,0.6300819516181946,23.114824295043945,0.6239385604858398
6,23.093881607055664,0.7118555903434753,23.13412094116211,0.7155967354774475,23.198843002319336,0.7209848165512085,23.226167678833008,0.722686767578125,23.02576446533203,0.7102082371711731,22.999465942382812,0.7281715869903564
7,20.464210510253906,0.5918660163879395,20.412702560424805,0.5904255509376526,20.46318817138672,0.5941871404647827,20.446319580078125,0.5971970558166504,20.470064163208008,0.5931113958358765,20.081865310668945,0.5896312594413757
8,18.213401794433594,0.2897084653377533,18.088451385498047,0.2896084487438202,18.18486976623535,0.3014509677886963,18.064693450927734,0.2937591075897217,18.156505584716797,0.2889947295188904,17.47037124633789,0.28634828329086304
9,23.569948196411133,0.6595538854598999,23.515819549560547,0.6590141654014587,23.668548583984375,0.6681011319160461,23.623821258544922,0.666031002998352,23.50003433227539,0.6557537317276001,23.289949417114258,0.6681832671165466
10,21.019163131713867,0.5860561728477478,20.879337310791016,0.5836683511734009,20.867822647094727,0.5847175717353821,20.922061920166016,0.5887323617935181,20.94264793395996,0.584412157535553,20.427419662475586,0.5771986842155457
11,20.016572952270508,0.48889586329460144,19.824432373046875,0.48859623074531555,19.823713302612305,0.49273261427879333,19.75387954711914,0.48875099420547485,19.998106002807617,0.4939729869365692,19.308734893798828,0.47640594840049744
12,23.09899139404297,0.7202815413475037,23.03887176513672,0.7222822904586792,23.121931076049805,0.7276057600975037,22.912445068359375,0.7230083346366882,22.88518714904785,0.7171668410301208,22.621334075927734,0.7149431109428406
13,25.109403610229492,0.7649646997451782,25.12302017211914,0.7705422639846802,25.14143180847168,0.7716320157051086,25.32345962524414,0.7748935222625732,24.980121612548828,0.7620500922203064,25.22885513305664,0.7830491662025452
14,19.70016860961914,0.6808463335037231,19.561002731323242,0.6788334846496582,19.46564483642578,0.6767369508743286,19.71993637084961,0.6854464411735535,19.52101707458496,0.6721972823143005,19.4786319732666,0.6834295988082886
15,22.177732467651367,0.656017541885376,22.052398681640625,0.6481810212135315,22.098731994628906,0.6544914245605469,22.11860466003418,0.6553890705108643,22.157451629638672,0.6539334654808044,21.89056396484375,0.6473621726036072
16,20.570756912231445,0.6357170939445496,20.42619514465332,0.6292178630828857,20.42436981201172,0.6318258047103882,20.52687644958496,0.6354343891143799,20.466442108154297,0.6341294646263123,20.286331176757812,0.6249174475669861
17,19.932754516601562,0.6022517681121826,19.8555965423584,0.6017376780509949,19.845212936401367,0.6037402153015137,19.91333770751953,0.6071944236755371,19.986312866210938,0.6037181615829468,19.567337036132812,0.5979529619216919
18,27.031570434570312,0.6869256496429443,27.08916473388672,0.692631185054779,27.069576263427734,0.6940800547599792,27.17290687561035,0.6949026584625244,27.03920555114746,0.6878228783607483,27.012920379638672,0.7035956978797913
19,23.294353485107422,0.6490461230278015,23.215473175048828,0.6491906642913818,23.28225326538086,0.652741014957428,23.30573081970215,0.6533490419387817,23.30043601989746,0.6485641598701477,23.079666137695312,0.6558747887611389
20,23.200977325439453,0.5284515619277954,23.134052276611328,0.5241233706474304,23.11861228942871,0.527256965637207,23.109777450561523,0.5260336399078369,23.16433334350586,0.5272643566131592,22.864002227783203,0.5226554870605469
21,23.68697738647461,0.6322177648544312,23.628929138183594,0.6354759931564331,23.693273544311523,0.639308750629425,23.728870391845703,0.6369248628616333,23.693552017211914,0.6323191523551941,23.319843292236328,0.6442208886146545
22,22.57408905029297,0.6363143920898438,22.490036010742188,0.6347702741622925,22.498062133789062,0.6364043354988098,22.555463790893555,0.6401373147964478,22.557029724121094,0.6316567063331604,22.20630645751953,0.6346809267997742
23,22.11069107055664,0.5593509674072266,21.98467254638672,0.5535420775413513,21.98423194885254,0.555287778377533,22.054319381713867,0.5596659183502197,22.086400985717773,0.558043897151947,21.700244903564453,0.5476045608520508
24,23.522994995117188,0.6869785785675049,23.39111328125,0.679845929145813,23.522937774658203,0.6861358284950256,23.509111404418945,0.6867128014564514,23.538713455200195,0.6854569911956787,23.289772033691406,0.6825764179229736
25,24.22691535949707,0.7792688608169556,24.451683044433594,0.7836055159568787,24.281063079833984,0.7808618545532227,24.48462677001953,0.7852649092674255,24.178192138671875,0.7771278023719788,24.364429473876953,0.7983123660087585
26,18.796772003173828,0.6278234720230103,18.70306968688965,0.6270339488983154,18.36113166809082,0.6229459643363953,18.558929443359375,0.6284429430961609,18.611345291137695,0.6254836916923523,18.19765853881836,0.6271194219589233
27,16.16362762451172,0.5044085383415222,15.91750717163086,0.49441441893577576,16.029661178588867,0.5008942484855652,16.062301635742188,0.5032401084899902,16.055267333984375,0.4978069067001343,15.722046852111816,0.48791173100471497
28,13.046907424926758,0.371415913105011,12.945150375366211,0.36301830410957336,12.987228393554688,0.3683857023715973,12.98145866394043,0.37133893370628357,12.966487884521484,0.365276575088501,12.715362548828125,0.3573411703109741
29,16.52301025390625,0.4475743770599365,16.356708526611328,0.43515437841415405,16.19764518737793,0.4306470453739166,16.345600128173828,0.4404064118862152,16.442014694213867,0.44315436482429504,16.096481323242188,0.42832431197166443
30,22.398712158203125,0.7793022990226746,22.397235870361328,0.7836929559707642,22.469627380371094,0.7863622903823853,22.48096466064453,0.7877277731895447,22.222118377685547,0.7774999141693115,22.205608367919922,0.7905458807945251
31,17.23076629638672,0.6404329538345337,17.16727638244629,0.6397873163223267,17.08328628540039,0.6386851668357849,17.16754150390625,0.6440277695655823,17.214900970458984,0.6415003538131714,16.96916961669922,0.640320897102356
32,17.311309814453125,0.5492793321609497,17.165300369262695,0.5421590209007263,17.22068214416504,0.5492292046546936,17.18103790283203,0.5503023862838745,17.16862678527832,0.5422644019126892,16.917926788330078,0.5313875079154968
33,22.418102264404297,0.7179267406463623,22.384502410888672,0.7189764380455017,22.431543350219727,0.7220896482467651,22.483911514282227,0.7244411706924438,22.364919662475586,0.7187564373016357,22.117313385009766,0.7243068814277649
34,25.338924407958984,0.7612592577934265,25.244457244873047,0.7585013508796692,25.30489158630371,0.7625061273574829,25.305137634277344,0.7643781304359436,25.36592674255371,0.7617994546890259,25.07010269165039,0.7547205686569214
35,19.37234878540039,0.5450291037559509,19.27768898010254,0.5402527451515198,19.30804443359375,0.5447407364845276,19.27227783203125,0.544187068939209,19.32722282409668,0.5441372394561768,18.896442413330078,0.5278527140617371
36,20.205852508544922,0.5934602618217468,20.15559196472168,0.6000574231147766,20.210594177246094,0.6005783081054688,20.1844425201416,0.5991531610488892,20.128267288208008,0.5937885642051697,19.882713317871094,0.6008254885673523
37,30.369709014892578,0.9373010993003845,30.080488204956055,0.9354111552238464,30.294204711914062,0.9397475123405457,30.550434112548828,0.9408642053604126,30.469863891601562,0.9396932721138,30.251117706298828,0.9399357438087463
38,24.288360595703125,0.862579345703125,24.11896514892578,0.8590520024299622,24.212440490722656,0.8628774881362915,24.47052764892578,0.868329644203186,24.495899200439453,0.8676720261573792,24.227521896362305,0.8640168309211731
39,22.335769653320312,0.6627640128135681,22.313032150268555,0.660511314868927,22.31382179260254,0.662588894367218,22.35419464111328,0.663688600063324,22.310043334960938,0.6608020663261414,22.032032012939453,0.6537237763404846
40,21.854991912841797,0.5856788158416748,21.84593963623047,0.5821590423583984,21.83895492553711,0.5836071372032166,21.824291229248047,0.5850613117218018,21.845548629760742,0.5840942859649658,21.60093116760254,0.5730765461921692
41,20.854324340820312,0.7865765690803528,20.695505142211914,0.7824105024337769,20.766572952270508,0.7882599830627441,20.864627838134766,0.789976954460144,20.94341278076172,0.7920324206352234,20.728214263916016,0.7866824269294739
42,41.272483825683594,0.9534494280815125,41.660465240478516,0.9533810019493103,41.30744171142578,0.9534751176834106,41.28919219970703,0.954107403755188,41.70109176635742,0.9536071419715881,41.760414123535156,0.9543071985244751
43,29.899465560913086,0.9156736135482788,29.514944076538086,0.913689136505127,29.521963119506836,0.9132019877433777,29.77398109436035,0.9166183471679688,29.60395050048828,0.9144320487976074,29.39794921875,0.9128274321556091
44,23.898487091064453,0.8311958909034729,23.800077438354492,0.8277869820594788,23.720745086669922,0.8273042440414429,23.78035545349121,0.8308688402175903,23.861492156982422,0.8308952450752258,23.613323211669922,0.8250088691711426
45,29.938167572021484,0.911483108997345,29.889827728271484,0.9108883738517761,29.887439727783203,0.9109468460083008,29.968881607055664,0.9123520255088806,30.001720428466797,0.9117715954780579,29.77788543701172,0.9119139313697815
46,25.821746826171875,0.9041224718093872,25.727005004882812,0.9027803540229797,25.69282341003418,0.9039575457572937,25.734750747680664,0.9042040109634399,25.66267967224121,0.9030552506446838,25.712203979492188,0.9030287861824036
47,30.193920135498047,0.893189013004303,30.152759552001953,0.8907089233398438,30.075712203979492,0.8920375108718872,30.133554458618164,0.8937841057777405,30.130279541015625,0.8923363089561462,30.055253982543945,0.8888583183288574
48,23.128602981567383,0.6754313111305237,23.12253761291504,0.674385130405426,23.121625900268555,0.6760693192481995,23.112388610839844,0.6756519079208374,23.10682487487793,0.6738844513893127,22.930648803710938,0.6717567443847656
49,27.640079498291016,0.9148799180984497,27.917888641357422,0.9176925420761108,27.783992767333984,0.9208571910858154,28.25986671447754,0.9158576130867004,27.949748992919922,0.9193711876869202,27.692224502563477,0.9223944544792175
50,27.231258392333984,0.8975327610969543,27.095508575439453,0.8926510214805603,27.014333724975586,0.9000817537307739,27.081127166748047,0.8987179398536682,27.207992553710938,0.889720618724823,26.84786033630371,0.9049192070960999
51,23.7372989654541,0.8694079518318176,23.669776916503906,0.8475130796432495,23.571212768554688,0.8490893244743347,23.72681427001953,0.8480810523033142,23.906774520874023,0.8368496298789978,23.596084594726562,0.8773468136787415
52,24.290369033813477,0.8621768355369568,24.068689346313477,0.8474913239479065,24.07752799987793,0.8440685272216797,24.2972469329834,0.8702266216278076,24.502574920654297,0.8218912482261658,23.080081939697266,0.852095901966095
53,17.80267906188965,0.6958768367767334,17.64735984802246,0.694750964641571,17.602935791015625,0.6975823044776917,17.653188705444336,0.7049781680107117,17.804323196411133,0.689235508441925,17.53608512878418,0.6983827352523804
54,25.61493682861328,0.8781743049621582,25.63137435913086,0.8803371787071228,25.71516227722168,0.8873609304428101,25.841655731201172,0.8821754455566406,25.53023910522461,0.8736810088157654,25.7270450592041,0.8908517360687256
55,24.965478897094727,0.8015257716178894,24.78256607055664,0.8112286925315857,24.940805435180664,0.7935064435005188,24.965906143188477,0.7901796102523804,24.939559936523438,0.7634070515632629,24.650365829467773,0.8265547156333923
56,22.21864891052246,0.7968445420265198,22.1689453125,0.7911626696586609,22.181989669799805,0.7975133061408997,22.215776443481445,0.8071902394294739,22.439083099365234,0.7902446985244751,22.144866943359375,0.8081944584846497
57,23.94111442565918,0.8769907355308533,23.94575309753418,0.8758193254470825,23.878360748291016,0.8810675740242004,23.966590881347656,0.877970814704895,24.18279266357422,0.8775230646133423,23.871212005615234,0.8827905058860779
58,30.577274322509766,0.9317595958709717,30.345125198364258,0.9266147613525391,30.395586013793945,0.9095931053161621,30.805540084838867,0.917150616645813,31.611526489257812,0.8750977516174316,30.720962524414062,0.9546037316322327
59,21.895221710205078,0.7842026948928833,21.761552810668945,0.7757622599601746,21.744991302490234,0.7715667486190796,21.964370727539062,0.797199010848999,22.294206619262695,0.7444904446601868,20.857662200927734,0.7706989645957947
60,20.397127151489258,0.7977677583694458,20.290454864501953,0.7932338714599609,20.31307601928711,0.8045921325683594,20.43562126159668,0.7996399402618408,20.607736587524414,0.8032158613204956,20.11610221862793,0.7946717739105225
61,23.882253646850586,0.8697298765182495,23.96630859375,0.88210129737854,24.200210571289062,0.8873093128204346,24.172468185424805,0.8913775086402893,23.823341369628906,0.877142071723938,24.370853424072266,0.8990592360496521
62,20.494304656982422,0.8232558965682983,20.3214054107666,0.8257342576980591,20.076711654663086,0.8222312927246094,20.30633544921875,0.8309683203697205,20.362667083740234,0.8236048221588135,20.060649871826172,0.8292917013168335
63,18.103092193603516,0.5200739502906799,17.93885040283203,0.5098928809165955,17.994266510009766,0.5165870785713196,17.960466384887695,0.5131875872612,17.98450469970703,0.5115357041358948,17.565277099609375,0.4953781068325043
64,17.697643280029297,0.5858659744262695,17.45803451538086,0.5775840878486633,17.534311294555664,0.5809788107872009,17.501922607421875,0.5813109278678894,17.661346435546875,0.5838870406150818,17.277681350708008,0.57204669713974
65,16.46497344970703,0.669562041759491,16.325857162475586,0.6624102592468262,16.180532455444336,0.6614455580711365,16.277984619140625,0.6652272343635559,16.329500198364258,0.6660749316215515,16.129594802856445,0.6600891351699829
