patch_number,MAE Loss PSNR,MAE Loss SSIM,MSE Loss PSNR,MSE Loss SSIM,Tukey Loss PSNR,Tukey Loss SSIM,Charbonnier Loss PSNR,Charbonnier Loss SSIM,TV+MAE Loss PSNR,TV+MAE Loss SSIM,SSIM+MAE Loss PSNR,SSIM+MAE Loss SSIM
1,30.58331298828125,0.8518911004066467,30.670442581176758,0.8512818813323975,30.592660903930664,0.8527987003326416,30.704063415527344,0.8537182211875916,30.619592666625977,0.8512417078018188,30.602949142456055,0.8586536049842834
2,29.92489242553711,0.8065745234489441,29.960233688354492,0.8063281178474426,29.953453063964844,0.8085067272186279,30.019052505493164,0.8094319105148315,29.984054565429688,0.8076987266540527,30.076385498046875,0.8158305287361145
3,35.621883392333984,0.9124985933303833,35.70949935913086,0.9098321795463562,35.426517486572266,0.9122019410133362,35.88056564331055,0.9134858250617981,35.72718048095703,0.9112331867218018,36.20152282714844,0.9173699617385864
4,34.53152084350586,0.8940672278404236,34.64581298828125,0.8924189209938049,34.48619842529297,0.8943193554878235,34.60637664794922,0.8947705626487732,34.61796188354492,0.89360111951828,34.111839294433594,0.8928477168083191
5,31.91871452331543,0.9124881625175476,32.47771453857422,0.9188812971115112,32.46870040893555,0.9200776815414429,32.545223236083984,0.9206220507621765,32.188880920410156,0.9145479798316956,32.90249252319336,0.928606390953064
6,26.211238861083984,0.8893426656723022,26.512901306152344,0.8942376375198364,26.414886474609375,0.8920933604240417,26.768739700317383,0.8996158838272095,26.3320369720459,0.8909026384353638,26.780414581298828,0.9012671113014221
7,29.806535720825195,0.7292202115058899,29.865217208862305,0.730178952217102,29.880781173706055,0.7331200838088989,29.85796356201172,0.731881856918335,29.803882598876953,0.7289609313011169,29.72149658203125,0.733325183391571
Average,31.228299822126115,0.8565832121031625,31.405974524361746,0.8575941409383502,31.31759970528739,0.8590168356895447,31.483140672956193,0.8605037587029594,31.324798583984375,0.8568837557520185,31.485300064086914,0.8639857854161944
