patch_number,MAE Loss PSNR,MAE Loss SSIM,MSE Loss PSNR,MSE Loss SSIM,Tukey Loss PSNR,Tukey Loss SSIM,Charbonnier Loss PSNR,Charbonnier Loss SSIM,TV+MAE Loss PSNR,TV+MAE Loss SSIM,SSIM+MAE Loss PSNR,SSIM+MAE Loss SSIM
1,23.746307373046875,0.5915797352790833,23.847728729248047,0.5977507829666138,23.87891387939453,0.6005193591117859,23.874481201171875,0.5991207957267761,23.80207061767578,0.5939966440200806,23.86052894592285,0.6160785555839539
2,25.96658706665039,0.8044312000274658,26.19658660888672,0.8080604076385498,26.067386627197266,0.8075013160705566,26.24639320373535,0.8080534934997559,25.955524444580078,0.8054550886154175,26.097148895263672,0.8199003338813782
3,22.23421287536621,0.7785067558288574,22.48683738708496,0.7881930470466614,22.430706024169922,0.7883853316307068,22.411623001098633,0.7872613072395325,22.358440399169922,0.7847681045532227,22.468448638916016,0.8008297085762024
4,27.65851593017578,0.8235734701156616,27.697410583496094,0.8247438073158264,27.68576431274414,0.8249037265777588,27.72857666015625,0.8257876038551331,27.70467758178711,0.8243134617805481,27.682174682617188,0.8309818506240845
5,24.791318893432617,0.7101909518241882,24.858482360839844,0.7150604724884033,24.844924926757812,0.7136936783790588,24.871580123901367,0.7157063484191895,24.843605041503906,0.7138063907623291,24.657381057739258,0.7303301692008972
6,33.60884094238281,0.9306361079216003,34.41729736328125,0.9323691725730896,34.15923309326172,0.9322350025177002,34.324249267578125,0.9322898983955383,33.760459899902344,0.93170166015625,34.39867401123047,0.9336985349655151
7,23.798664093017578,0.7050371170043945,23.923587799072266,0.7114996910095215,23.868152618408203,0.708047091960907,23.924333572387695,0.7115711569786072,23.819217681884766,0.7084546685218811,23.828203201293945,0.7255499958992004
8,22.76605796813965,0.5808367133140564,22.804325103759766,0.5852227210998535,22.796295166015625,0.5846302509307861,22.803226470947266,0.5841683149337769,22.775760650634766,0.5817613005638123,22.62127685546875,0.6084938645362854
9,27.009145736694336,0.7782256603240967,27.09702491760254,0.7821575999259949,27.099000930786133,0.7821593284606934,27.055320739746094,0.7809081077575684,27.023597717285156,0.7792419195175171,27.04297637939453,0.7892440557479858
10,33.29481506347656,0.9111431241035461,33.536251068115234,0.9125410318374634,33.39556121826172,0.9119473099708557,33.5008544921875,0.9137787222862244,33.42759704589844,0.9122434854507446,33.434696197509766,0.9155198931694031
