patch_number,MAE Loss PSNR,MAE Loss SSIM,MSE Loss PSNR,MSE Loss SSIM,Tukey Loss PSNR,Tukey Loss SSIM,Charbonnier Loss PSNR,Charbonnier Loss SSIM,TV+MAE Loss PSNR,TV+MAE Loss SSIM,SSIM+MAE Loss PSNR,SSIM+MAE Loss SSIM
1,20.375268936157227,0.44965606927871704,20.413789749145508,0.4551279544830322,20.398435592651367,0.45279648900032043,20.39466094970703,0.4536081552505493,20.3885498046875,0.45044827461242676,20.245647430419922,0.4847123622894287
2,27.62005043029785,0.8528916835784912,27.528907775878906,0.8546161651611328,25.7177734375,0.8342337012290955,27.111446380615234,0.8530921936035156,27.90837287902832,0.8573878407478333,28.016460418701172,0.8656036853790283
3,25.498640060424805,0.777320384979248,25.565881729125977,0.7807093262672424,25.47806739807129,0.7774493098258972,25.36713409423828,0.7776659727096558,25.509845733642578,0.7762870788574219,25.484844207763672,0.7867835760116577
4,24.126781463623047,0.6789855360984802,23.81147003173828,0.6698459386825562,23.39529037475586,0.6667341589927673,24.028762817382812,0.6789618730545044,24.319469451904297,0.6855360865592957,23.339452743530273,0.6801390051841736
5,23.379671096801758,0.6357726454734802,23.38666534423828,0.6367530226707458,23.391754150390625,0.637966513633728,23.391504287719727,0.6384763121604919,23.38512420654297,0.636699914932251,23.399822235107422,0.6404391527175903
6,23.796842575073242,0.6378265023231506,23.82371711730957,0.6386367082595825,23.836400985717773,0.6412831544876099,23.780681610107422,0.6379794478416443,23.840919494628906,0.6403416395187378,23.687562942504883,0.6620108485221863
7,22.469467163085938,0.5759032368659973,22.51875877380371,0.5795032382011414,22.401824951171875,0.5742570757865906,22.495059967041016,0.5776873230934143,22.454540252685547,0.5757716298103333,22.292381286621094,0.6008282899856567
8,27.639446258544922,0.7262825965881348,27.691495895385742,0.7293654680252075,27.727005004882812,0.7288761138916016,27.71505355834961,0.7287983894348145,27.693470001220703,0.7280266284942627,27.588655471801758,0.7403882145881653
9,23.559677124023438,0.533015787601471,23.588478088378906,0.5345005989074707,23.59176254272461,0.5346325039863586,23.585908889770508,0.5340712666511536,23.555328369140625,0.5298977494239807,23.36526107788086,0.5617092847824097
10,24.55518341064453,0.5240401029586792,24.685901641845703,0.529771625995636,24.556568145751953,0.5265467166900635,24.747848510742188,0.528009831905365,24.560110092163086,0.5237460136413574,24.31610870361328,0.545290470123291
